name,opponent,n,mean,median,min,max,stdev
wheat_dump,random,8,4185.6,4162.0,4048.0,4293.0,79.4
wheat_dump,starter,8,4175.9,4168.0,4061.0,4292.0,81.7
wheat_threshold_5,random,8,4169.0,4161.5,4087.0,4243.0,51.4
wheat_threshold_5,starter,8,4148.0,4143.0,4065.0,4242.0,68.8
wheat_threshold_10,random,8,4132.4,4119.0,4071.0,4228.0,59.1
wheat_threshold_10,starter,8,4196.8,4176.0,4058.0,4300.0,92.2
wheat_threshold_20,random,8,4197.8,4208.0,3999.0,4362.0,121.7
wheat_threshold_20,starter,8,4187.1,4156.5,4131.0,4315.0,66.0
wheat_threshold_40,random,8,3436.2,3444.0,3359.0,3501.0,62.6
wheat_threshold_40,starter,8,3472.8,3505.5,3347.0,3535.0,65.7
wheat_threshold_80,random,8,3431.8,3440.5,3359.0,3526.0,62.1
wheat_threshold_80,starter,8,3372.6,3347.0,3347.0,3429.0,37.4
wheat_pricegate_10,random,8,4179.0,4203.5,3977.0,4240.0,87.6
wheat_pricegate_10,starter,8,4176.0,4205.0,4003.0,4271.0,90.5
wheat_pricegate_15,random,8,4168.5,4178.5,4066.0,4240.0,68.5
wheat_pricegate_15,starter,8,4125.2,4126.5,3954.0,4311.0,104.5
wheat_pricegate_20,random,8,4249.1,4243.5,4162.0,4318.0,52.1
wheat_pricegate_20,starter,8,4199.6,4202.5,4131.0,4238.0,39.3
wheat_capped_5,random,8,4212.1,4219.5,4137.0,4280.0,52.1
wheat_capped_5,starter,8,4174.4,4171.0,4028.0,4269.0,86.9
wheat_capped_15,random,8,4159.9,4157.5,4115.0,4246.0,38.5
wheat_capped_15,starter,8,4123.0,4122.5,4056.0,4224.0,54.8
wheat_capped_30,random,8,4194.4,4178.0,4124.0,4268.0,53.7
wheat_capped_30,starter,8,4208.8,4220.0,4139.0,4292.0,48.8
wheat_shopscaled_5_2,random,8,4171.0,4158.0,4085.0,4255.0,53.4
wheat_shopscaled_5_2,starter,8,4162.8,4186.5,4005.0,4292.0,109.3
carrot_threshold_3,random,8,4101.8,4118.0,3970.0,4224.0,92.1
carrot_threshold_3,starter,8,4077.0,4079.0,3987.0,4144.0,57.6
carrot_threshold_5,random,8,4090.0,4087.5,4008.0,4161.0,58.3
carrot_threshold_5,starter,8,4070.2,4074.5,3957.0,4144.0,53.9
carrot_threshold_10,random,8,4203.9,4189.0,4154.0,4300.0,48.4
carrot_threshold_10,starter,8,4200.6,4220.0,4108.0,4310.0,64.1
carrot_threshold_20,random,8,4175.2,4220.0,3995.0,4239.0,96.2
carrot_threshold_20,starter,8,4142.9,4177.5,3997.0,4230.0,93.9
carrot_threshold_40,random,8,3311.6,3328.0,3240.0,3332.0,32.2
carrot_threshold_40,starter,8,3277.9,3293.0,3147.0,3332.0,67.0
carrot_pricegate_15,random,8,4203.1,4197.0,4136.0,4309.0,65.8
carrot_pricegate_15,starter,8,4138.8,4161.5,4003.0,4284.0,112.9
carrot_pricegate_20,random,8,4190.8,4166.0,4123.0,4304.0,72.7
carrot_pricegate_20,starter,8,4161.2,4146.5,4003.0,4292.0,90.5
carrot_pricegate_25,random,8,4187.5,4157.5,4135.0,4268.0,57.5
carrot_pricegate_25,starter,8,4130.0,4122.5,4003.0,4248.0,76.9
carrot_pricegate_30,random,8,4177.1,4190.0,4026.0,4318.0,97.0
carrot_pricegate_30,starter,8,4232.6,4226.0,4139.0,4311.0,65.1
carrot_pricegate_33,random,8,4148.0,4144.0,4008.0,4285.0,96.7
carrot_pricegate_33,starter,8,4068.8,4205.5,3660.0,4284.0,251.2
carrot_capped_1,random,8,4179.8,4201.5,4033.0,4293.0,91.3
carrot_capped_1,starter,8,4162.5,4146.0,4054.0,4279.0,67.7
carrot_capped_2,random,8,4160.9,4169.0,3984.0,4247.0,79.0
carrot_capped_2,starter,8,4147.4,4144.0,4106.0,4204.0,31.8
carrot_capped_5,random,8,4178.8,4197.0,4030.0,4238.0,71.5
carrot_capped_5,starter,8,4165.8,4149.5,4064.0,4272.0,68.7
carrot_capped_10,random,8,4162.1,4157.5,4124.0,4240.0,38.9
carrot_capped_10,starter,8,4159.8,4135.0,4061.0,4271.0,68.1
carrot_dayspread_2,random,8,4035.4,4027.0,3908.0,4142.0,70.3
carrot_dayspread_2,starter,8,4028.8,4014.5,3945.0,4139.0,59.7
carrot_dayspread_4,random,8,3866.9,3889.5,3764.0,3956.0,77.3
carrot_dayspread_4,starter,8,3888.6,3906.0,3778.0,3957.0,65.1
carrot_dayspread_7,random,8,3674.2,3698.0,3550.0,3738.0,64.0
carrot_dayspread_7,starter,8,3644.5,3650.5,3604.0,3682.0,31.0
carrot_shopscaled_3_1,random,8,4209.8,4221.5,4158.0,4244.0,32.9
carrot_shopscaled_3_1,starter,8,4182.4,4206.5,4052.0,4285.0,87.9
carrot_shopscaled_5_2,random,8,4179.0,4191.0,4068.0,4240.0,59.7
carrot_shopscaled_5_2,starter,8,4121.8,4116.5,4013.0,4228.0,77.3
carrot_threshprice_5_20,random,8,4084.6,4092.5,3986.0,4170.0,60.5
carrot_threshprice_5_20,starter,8,4082.0,4092.5,3987.0,4202.0,79.0
carrot_threshprice_10_25,random,8,4187.6,4175.0,4130.0,4287.0,55.1
carrot_threshprice_10_25,starter,8,4189.1,4218.0,4068.0,4295.0,92.4
carrot_threshprice_10_20,random,8,4180.1,4168.0,4076.0,4251.0,62.4
carrot_threshprice_10_20,starter,8,4171.1,4179.0,3961.0,4295.0,108.6
carrot_gatehours_4,random,8,4171.9,4183.5,4070.0,4255.0,69.2
